,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2019-05-10 00:00:00,14,68.4,27,64.5,27,60.4,68,63.6,3,0
1,2019-05-10 00:05:00,21,68.9,34,65.0,33,60.9,88,64.4,3,0
2,2019-05-10 00:10:00,18,68.5,30,64.5,30,60.4,78,63.9,3,0
3,2019-05-10 00:15:00,12,68.6,25,64.7,26,60.6,63,63.7,3,0
4,2019-05-10 00:20:00,11,68.3,25,64.4,25,60.3,61,63.4,3,0
5,2019-05-10 00:25:00,13,68.3,26,64.4,26,60.3,65,63.5,3,0
6,2019-05-10 00:30:00,13,67.5,26,63.6,26,59.6,65,62.8,3,0
7,2019-05-10 00:35:00,13,68.0,26,64.0,26,60.0,65,63.2,3,0
8,2019-05-10 00:40:00,12,67.9,25,64.0,26,59.9,63,63.0,3,0
9,2019-05-10 00:45:00,10,67.9,24,64.0,24,59.9,58,63.0,3,0
10,2019-05-10 00:50:00,10,68.0,23,64.0,24,60.0,57,63.0,3,0
11,2019-05-10 00:55:00,11,66.5,24,62.6,25,58.7,60,61.7,3,0
12,2019-05-10 01:00:00,8,67.5,21,63.6,22,59.6,51,62.5,3,0
13,2019-05-10 01:05:00,10,68.0,23,64.1,24,60.1,57,63.1,3,0
14,2019-05-10 01:10:00,12,66.9,25,63.0,25,59.0,62,62.2,3,0
15,2019-05-10 01:15:00,10,68.0,23,64.1,24,60.0,57,63.0,3,0
16,2019-05-10 01:20:00,11,68.3,24,64.4,25,60.3,60,63.4,3,0
17,2019-05-10 01:25:00,10,68.0,24,64.1,24,60.0,58,63.0,3,0
18,2019-05-10 01:30:00,7,68.1,21,64.2,22,60.1,50,62.9,3,0
19,2019-05-10 01:35:00,11,68.0,24,64.0,25,60.0,60,63.1,3,0
20,2019-05-10 01:40:00,11,68.1,24,64.2,25,60.1,60,63.2,3,0
21,2019-05-10 01:45:00,10,68.2,23,64.3,24,60.2,57,63.2,3,0
22,2019-05-10 01:50:00,13,67.3,27,63.4,27,59.4,67,62.6,3,0
23,2019-05-10 01:55:00,12,67.1,25,63.2,25,59.2,62,62.4,3,0
24,2019-05-10 02:00:00,12,67.3,25,63.4,25,59.4,62,62.5,3,0
25,2019-05-10 02:05:00,10,67.7,23,63.8,24,59.8,57,62.8,3,0
26,2019-05-10 02:10:00,9,68.1,22,64.2,23,60.1,54,63.1,3,0
27,2019-05-10 02:15:00,9,67.9,22,64.0,23,60.0,54,62.9,3,0
28,2019-05-10 02:20:00,11,68.0,24,64.1,25,60.1,60,63.1,3,0
29,2019-05-10 02:25:00,9,68.1,22,64.2,23,60.1,54,63.1,3,0
30,2019-05-10 02:30:00,9,68.2,22,64.3,23,60.2,54,63.2,3,0
31,2019-05-10 02:35:00,12,68.3,25,64.4,25,60.3,62,63.5,3,0
32,2019-05-10 02:40:00,9,68.5,23,64.6,23,60.5,55,63.5,3,0
33,2019-05-10 02:45:00,10,68.4,23,64.5,24,60.4,57,63.4,3,0
34,2019-05-10 02:50:00,8,68.1,22,64.2,23,60.2,53,63.1,3,0
35,2019-05-10 02:55:00,11,68.1,24,64.2,25,60.1,60,63.2,3,0
36,2019-05-10 03:00:00,8,68.1,21,64.2,22,60.1,51,63.0,3,0
37,2019-05-10 03:05:00,8,68.3,21,64.4,22,60.3,51,63.2,3,0
38,2019-05-10 03:10:00,10,68.3,24,64.4,24,60.3,58,63.3,3,0
39,2019-05-10 03:15:00,10,68.0,23,64.1,24,60.0,57,63.1,3,0
40,2019-05-10 03:20:00,10,67.9,24,63.9,24,59.9,58,62.9,3,0
41,2019-05-10 03:25:00,9,68.2,23,64.3,24,60.2,56,63.2,3,0
42,2019-05-10 03:30:00,7,68.1,21,64.2,22,60.1,50,63.0,3,0
43,2019-05-10 03:35:00,11,68.4,25,64.5,25,60.4,61,63.5,3,0
44,2019-05-10 03:40:00,10,67.6,24,63.7,24,59.6,58,62.7,3,0
45,2019-05-10 03:45:00,12,67.8,25,63.9,25,59.9,62,63.0,3,0
46,2019-05-10 03:50:00,10,67.7,24,63.8,24,59.8,58,62.8,3,0
47,2019-05-10 03:55:00,10,67.8,24,63.9,24,59.9,58,62.9,3,0
48,2019-05-10 04:00:00,12,67.7,26,63.8,26,59.8,64,62.9,3,0
49,2019-05-10 04:05:00,9,68.3,23,64.4,24,60.3,56,63.2,3,0
50,2019-05-10 04:10:00,10,68.3,23,64.4,24,60.3,57,63.3,3,0
51,2019-05-10 04:15:00,13,68.2,26,64.3,26,60.2,65,63.4,3,0
52,2019-05-10 04:20:00,10,68.1,24,64.2,24,60.1,58,63.1,3,0
53,2019-05-10 04:25:00,13,68.5,26,64.5,26,60.4,65,63.7,3,0
54,2019-05-10 04:30:00,16,68.2,29,64.2,28,60.2,73,63.5,3,0
55,2019-05-10 04:35:00,16,68.4,29,64.5,28,60.4,73,63.8,3,0
56,2019-05-10 04:40:00,14,68.3,27,64.4,27,60.3,68,63.6,3,0
57,2019-05-10 04:45:00,16,68.3,29,64.4,29,60.3,74,63.6,3,0
58,2019-05-10 04:50:00,16,68.6,29,64.6,29,60.5,74,63.9,3,0
59,2019-05-10 04:55:00,17,68.9,30,65.0,29,60.9,76,64.3,3,0
60,2019-05-10 05:00:00,18,68.7,30,64.8,30,60.7,78,64.1,3,0
61,2019-05-10 05:05:00,16,68.7,29,64.8,29,60.6,74,64.0,3,0
62,2019-05-10 05:10:00,21,68.1,33,64.2,32,60.2,86,63.7,3,0
63,2019-05-10 05:15:00,19,68.1,31,64.2,31,60.1,81,63.5,3,0
64,2019-05-10 05:20:00,19,68.0,31,64.0,31,60.0,81,63.4,3,0
65,2019-05-10 05:25:00,20,67.3,33,63.4,32,59.4,85,62.8,3,0
66,2019-05-10 05:30:00,22,68.1,35,64.1,33,60.1,90,63.6,3,0
67,2019-05-10 05:35:00,20,68.8,33,64.8,31,60.7,84,64.3,3,0
68,2019-05-10 05:40:00,27,68.5,39,64.6,37,60.5,103,64.1,3,0
69,2019-05-10 05:45:00,27,69.0,39,65.0,37,60.9,103,64.6,3,0
70,2019-05-10 05:50:00,29,69.2,41,65.3,39,61.1,109,64.9,3,0
71,2019-05-10 05:55:00,24,69.1,36,65.1,34,61.0,94,64.6,3,0
72,2019-05-10 06:00:00,28,69.6,40,65.7,37,61.5,105,65.3,3,0
73,2019-05-10 06:05:00,26,67.8,38,63.9,36,59.9,100,63.5,3,0
74,2019-05-10 06:10:00,28,68.6,40,64.6,37,60.5,105,64.2,3,0
75,2019-05-10 06:15:00,31,68.5,43,64.6,40,60.5,114,64.2,3,0
76,2019-05-10 06:20:00,36,67.8,47,63.9,44,59.8,127,63.6,3,0
77,2019-05-10 06:25:00,37,69.3,48,65.3,44,61.2,129,65.1,3,0
78,2019-05-10 06:30:00,36,69.3,47,65.4,43,61.2,126,65.1,3,0
79,2019-05-10 06:35:00,37,70.1,48,66.1,44,61.8,129,65.8,3,0
80,2019-05-10 06:40:00,37,67.3,48,63.4,44,59.3,129,63.1,3,0
81,2019-05-10 06:45:00,41,70.1,52,66.1,48,61.9,141,65.8,3,0
82,2019-05-10 06:50:00,49,69.4,59,65.5,53,61.3,161,65.3,3,0
83,2019-05-10 06:55:00,43,68.8,54,64.8,49,60.7,146,64.6,3,0
84,2019-05-10 07:00:00,40,67.1,51,63.2,47,59.2,138,62.9,3,0
85,2019-05-10 07:05:00,44,66.3,54,62.5,49,58.5,147,62.3,3,0
86,2019-05-10 07:10:00,42,64.5,53,60.6,48,56.7,143,60.4,3,0
87,2019-05-10 07:15:00,48,65.0,58,61.1,53,57.3,159,61.0,3,0
88,2019-05-10 07:20:00,51,65.6,60,61.7,54,57.8,165,61.6,3,0
89,2019-05-10 07:25:00,53,64.2,62,60.4,56,56.6,171,60.3,3,0
90,2019-05-10 07:30:00,48,64.5,58,60.7,52,56.9,158,60.6,3,0
91,2019-05-10 07:35:00,60,65.6,69,61.7,62,57.8,191,61.7,3,0
92,2019-05-10 07:40:00,51,65.0,60,61.2,54,57.3,165,61.1,3,0
93,2019-05-10 07:45:00,44,65.5,53,61.6,49,57.7,146,61.5,3,0
94,2019-05-10 07:50:00,59,65.4,68,61.6,61,57.7,188,61.5,3,0
95,2019-05-10 07:55:00,52,65.2,62,61.4,55,57.6,169,61.3,3,0
96,2019-05-10 08:00:00,49,64.5,60,60.7,54,56.9,163,60.5,3,0
97,2019-05-10 08:05:00,52,64.3,62,60.5,55,56.7,169,60.4,3,0
98,2019-05-10 08:10:00,49,65.5,59,61.7,53,57.8,161,61.6,3,0
99,2019-05-10 08:15:00,48,65.4,58,61.6,53,57.7,159,61.4,3,0
100,2019-05-10 08:20:00,48,64.9,58,61.1,53,57.2,159,60.9,3,0
101,2019-05-10 08:25:00,53,65.2,63,61.4,57,57.6,173,61.3,3,0
102,2019-05-10 08:30:00,43,66.5,53,62.6,49,58.7,145,62.4,3,0
103,2019-05-10 08:35:00,49,65.5,60,61.7,54,57.8,163,61.6,3,0
104,2019-05-10 08:40:00,57,64.7,67,60.9,60,57.0,184,60.8,3,0
105,2019-05-10 08:45:00,45,65.0,56,61.2,50,57.3,151,61.1,3,0
106,2019-05-10 08:50:00,46,67.2,55,63.3,50,59.3,151,63.2,3,0
107,2019-05-10 08:55:00,56,65.6,66,61.8,59,57.9,181,61.7,3,0
108,2019-05-10 09:00:00,48,65.2,58,61.4,52,57.5,158,61.3,3,0
109,2019-05-10 09:05:00,51,66.1,61,62.3,55,58.3,167,62.1,3,0
110,2019-05-10 09:10:00,42,63.2,52,59.4,48,55.7,142,59.3,3,0
111,2019-05-10 09:15:00,46,64.3,56,60.6,51,56.8,153,60.4,3,0
112,2019-05-10 09:20:00,49,64.5,59,60.7,53,56.9,161,60.6,3,0
113,2019-05-10 09:25:00,53,64.5,63,60.7,56,56.9,172,60.7,3,0
114,2019-05-10 09:30:00,45,64.3,55,60.5,50,56.7,150,60.4,3,0
115,2019-05-10 09:35:00,57,65.7,66,61.9,59,58.0,182,61.8,3,0
116,2019-05-10 09:40:00,48,65.3,58,61.5,52,57.7,158,61.4,3,0
117,2019-05-10 09:45:00,53,65.4,62,61.6,56,57.7,171,61.5,3,0
118,2019-05-10 09:50:00,52,64.2,63,60.3,56,56.5,171,60.2,3,0
119,2019-05-10 09:55:00,56,65.4,66,61.6,59,57.7,181,61.5,3,0
120,2019-05-10 10:00:00,51,63.7,61,59.8,55,56.1,167,59.8,3,0
121,2019-05-10 10:05:00,51,64.1,60,60.2,54,56.4,165,60.2,3,0
122,2019-05-10 10:10:00,53,62.3,63,58.5,56,54.8,172,58.5,3,0
123,2019-05-10 10:15:00,44,62.0,55,58.1,50,54.5,149,58.0,3,0
124,2019-05-10 10:20:00,53,63.5,62,59.7,56,55.9,171,59.6,3,0
125,2019-05-10 10:25:00,51,63.7,61,59.9,55,56.1,167,59.8,3,0
126,2019-05-10 10:30:00,55,62.4,64,58.6,58,54.9,177,58.6,3,0
127,2019-05-10 10:35:00,46,63.4,57,59.5,51,55.8,154,59.4,3,0
128,2019-05-10 10:40:00,47,63.3,57,59.5,52,55.8,156,59.4,3,0
129,2019-05-10 10:45:00,50,63.4,61,59.6,55,55.9,166,59.5,3,0
130,2019-05-10 10:50:00,56,63.7,65,59.9,58,56.2,179,59.9,3,0
131,2019-05-10 10:55:00,48,63.5,59,59.7,53,56.0,160,59.6,3,0
132,2019-05-10 11:00:00,47,64.3,58,60.5,52,56.7,157,60.4,3,0
133,2019-05-10 11:05:00,55,64.6,65,60.8,58,57.0,178,60.8,3,0
134,2019-05-10 11:10:00,57,64.6,67,60.8,59,57.0,183,60.7,3,0
135,2019-05-10 11:15:00,51,63.8,61,59.9,54,56.1,166,59.9,3,0
136,2019-05-10 11:20:00,53,64.2,63,60.4,57,56.6,173,60.3,3,0
137,2019-05-10 11:25:00,42,66.4,53,62.6,48,58.6,143,62.4,3,0
138,2019-05-10 11:30:00,47,63.4,57,59.5,52,55.8,156,59.4,3,0
139,2019-05-10 11:35:00,59,63.5,68,59.7,61,56.0,188,59.7,3,0
140,2019-05-10 11:40:00,58,64.3,68,60.5,61,56.7,187,60.4,3,0
141,2019-05-10 11:45:00,49,64.0,59,60.2,53,56.5,161,60.1,3,0
142,2019-05-10 11:50:00,51,65.1,61,61.4,55,57.5,167,61.3,3,0
143,2019-05-10 11:55:00,57,65.0,67,61.2,60,57.4,184,61.1,3,0
144,2019-05-10 12:00:00,44,64.9,54,61.0,49,57.2,147,60.9,3,0
145,2019-05-10 12:05:00,60,65.4,68,61.5,61,57.6,189,61.5,3,0
146,2019-05-10 12:10:00,61,64.1,71,60.2,63,56.4,195,60.2,3,0
147,2019-05-10 12:15:00,53,64.2,63,60.4,56,56.6,172,60.3,3,0
148,2019-05-10 12:20:00,49,64.1,60,60.3,54,56.5,163,60.2,3,0
149,2019-05-10 12:25:00,45,64.5,56,60.7,50,56.9,151,60.6,3,0
150,2019-05-10 12:30:00,52,64.8,62,60.9,56,57.0,170,60.8,3,0
151,2019-05-10 12:35:00,59,64.0,68,60.1,61,56.3,188,60.1,3,0
152,2019-05-10 12:40:00,56,63.2,66,59.2,59,55.5,181,59.2,3,0
153,2019-05-10 12:45:00,52,62.9,62,59.0,56,55.2,170,58.9,3,0
154,2019-05-10 12:50:00,52,63.3,62,59.4,56,55.7,170,59.4,3,0
155,2019-05-10 12:55:00,53,62.6,64,58.7,57,55.0,174,58.7,3,0
156,2019-05-10 13:00:00,59,63.5,69,59.7,61,55.9,189,59.7,3,0
157,2019-05-10 13:05:00,47,63.9,58,60.1,52,56.3,157,60.0,3,0
158,2019-05-10 13:10:00,62,65.0,71,61.2,63,57.3,196,61.2,3,0
159,2019-05-10 13:15:00,58,63.4,67,59.6,60,55.9,185,59.6,3,0
160,2019-05-10 13:20:00,55,64.8,65,60.9,58,57.1,178,60.9,3,0
161,2019-05-10 13:25:00,55,64.8,65,61.0,58,57.2,178,60.9,3,0
162,2019-05-10 13:30:00,55,65.9,66,62.1,59,58.2,180,62.0,3,0
163,2019-05-10 13:35:00,53,65.4,63,61.5,57,57.7,173,61.4,3,0
164,2019-05-10 13:40:00,60,64.1,69,60.3,62,56.5,191,60.2,3,0
165,2019-05-10 13:45:00,54,65.9,64,62.0,57,58.1,175,61.9,3,0
166,2019-05-10 13:50:00,55,65.7,65,61.9,58,58.0,178,61.8,3,0
