,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2019-05-03 00:00:00,4,70.7,7,62.2,11,65.3,2,0
1,2019-05-03 00:05:00,5,70.6,8,61.9,13,65.2,2,0
2,2019-05-03 00:10:00,4,70.7,7,62.3,11,65.3,2,0
3,2019-05-03 00:15:00,2,70.6,5,62.1,7,64.6,2,0
4,2019-05-03 00:20:00,2,70.7,5,62.2,7,64.6,2,0
5,2019-05-03 00:25:00,5,70.7,8,62.3,13,65.5,2,0
6,2019-05-03 00:30:00,4,70.7,7,62.4,11,65.4,2,0
7,2019-05-03 00:35:00,2,70.7,5,62.3,7,64.7,2,0
8,2019-05-03 00:40:00,11,65.9,1,62.1,12,65.6,2,0
9,2019-05-03 00:45:00,2,70.6,5,61.9,7,64.4,2,0
10,2019-05-03 00:50:00,3,70.6,6,62.1,9,64.9,2,0
11,2019-05-03 00:55:00,3,70.6,6,62.0,9,64.9,2,0
12,2019-05-03 01:00:00,2,70.6,5,61.7,7,64.2,2,0
13,2019-05-03 01:05:00,13,66.0,3,62.1,16,65.3,2,0
14,2019-05-03 01:10:00,14,66.0,4,62.1,18,65.1,2,0
15,2019-05-03 01:15:00,13,66.1,3,62.2,16,65.3,2,0
16,2019-05-03 01:20:00,11,65.7,1,62.0,12,65.4,2,0
17,2019-05-03 01:25:00,3,70.7,6,62.3,9,65.1,2,0
18,2019-05-03 01:30:00,12,66.1,2,62.2,14,65.5,2,0
19,2019-05-03 01:35:00,13,65.7,3,62.0,16,65.0,2,0
20,2019-05-03 01:40:00,13,66.4,3,62.3,16,65.6,2,0
21,2019-05-03 01:45:00,3,70.7,6,62.3,9,65.1,2,0
22,2019-05-03 01:50:00,2,70.6,5,62.1,7,64.5,2,0
23,2019-05-03 01:55:00,13,66.2,3,62.2,16,65.5,2,0
24,2019-05-03 02:00:00,11,66.0,1,62.1,12,65.7,2,0
25,2019-05-03 02:05:00,11,65.8,1,62.1,12,65.5,2,0
26,2019-05-03 02:10:00,9,66.3,29,62.6,38,63.5,2,0
27,2019-05-03 02:15:00,12,66.6,2,62.4,14,66.0,2,0
28,2019-05-03 02:20:00,13,66.5,3,62.4,16,65.7,2,0
29,2019-05-03 02:25:00,13,66.8,3,62.5,16,66.0,2,0
30,2019-05-03 02:30:00,12,66.3,2,62.3,14,65.8,2,0
31,2019-05-03 02:35:00,3,70.6,6,62.1,9,65.0,2,0
32,2019-05-03 02:40:00,13,66.6,3,62.4,16,65.8,2,0
33,2019-05-03 02:45:00,11,66.2,1,62.2,12,65.9,2,0
34,2019-05-03 02:50:00,13,66.2,3,62.2,16,65.5,2,0
35,2019-05-03 02:55:00,12,66.7,2,62.4,14,66.1,2,0
36,2019-05-03 03:00:00,13,66.8,3,62.5,16,66.0,2,0
37,2019-05-03 03:05:00,13,66.7,3,62.4,16,65.9,2,0
38,2019-05-03 03:10:00,14,65.1,4,61.7,18,64.3,2,0
39,2019-05-03 03:15:00,14,66.0,4,62.1,18,65.1,2,0
40,2019-05-03 03:20:00,3,70.6,6,62.0,9,64.9,2,0
41,2019-05-03 03:25:00,14,65.9,4,62.1,18,65.1,2,0
42,2019-05-03 03:30:00,12,65.8,2,62.0,14,65.2,2,0
43,2019-05-03 03:35:00,14,64.4,4,61.4,18,63.8,2,0
44,2019-05-03 03:40:00,13,65.6,3,62.0,16,64.9,2,0
45,2019-05-03 03:45:00,13,66.1,3,62.2,16,65.3,2,0
46,2019-05-03 03:50:00,1,70.7,5,62.4,6,63.8,2,0
47,2019-05-03 03:55:00,2,70.6,5,62.1,7,64.6,2,0
48,2019-05-03 04:00:00,1,70.6,5,61.6,6,63.1,2,0
49,2019-05-03 04:05:00,8,70.4,9,60.9,17,65.4,2,0
50,2019-05-03 04:10:00,14,64.1,4,61.3,18,63.4,2,0
51,2019-05-03 04:15:00,9,70.5,10,61.4,19,65.7,2,0
52,2019-05-03 04:20:00,1,70.6,5,61.6,6,63.1,2,0
53,2019-05-03 04:25:00,13,65.4,3,61.8,16,64.7,2,0
54,2019-05-03 04:30:00,5,70.6,8,61.8,13,65.2,2,0
55,2019-05-03 04:35:00,7,70.6,8,61.7,15,65.8,2,0
56,2019-05-03 04:40:00,9,70.6,10,61.9,19,66.0,2,0
57,2019-05-03 04:45:00,14,70.7,13,62.2,27,66.6,2,0
58,2019-05-03 04:50:00,13,70.5,13,61.3,26,65.9,2,0
59,2019-05-03 04:55:00,12,70.6,12,62.0,24,66.3,2,0
60,2019-05-03 05:00:00,11,70.6,11,61.9,22,66.3,2,0
61,2019-05-03 05:05:00,8,70.6,9,61.9,17,66.0,2,0
62,2019-05-03 05:10:00,7,70.6,8,61.6,15,65.8,2,0
63,2019-05-03 05:15:00,5,70.5,8,61.2,13,64.8,2,0
64,2019-05-03 05:20:00,11,70.5,11,61.2,22,65.8,2,0
65,2019-05-03 05:25:00,20,70.6,17,61.8,37,66.5,2,0
66,2019-05-03 05:30:00,18,70.4,15,60.8,33,66.1,2,0
67,2019-05-03 05:35:00,19,70.6,16,61.7,35,66.5,2,0
68,2019-05-03 05:40:00,19,70.2,16,59.4,35,65.3,2,0
69,2019-05-03 05:45:00,17,70.5,15,61.2,32,66.1,2,0
70,2019-05-03 05:50:00,34,70.4,25,60.6,59,66.3,2,0
71,2019-05-03 05:55:00,29,70.4,22,60.9,51,66.3,2,0
72,2019-05-03 06:00:00,20,70.3,17,60.4,37,65.8,2,0
73,2019-05-03 06:05:00,26,70.6,20,61.8,46,66.8,2,0
74,2019-05-03 06:10:00,29,70.3,22,60.2,51,65.9,2,0
75,2019-05-03 06:15:00,28,70.5,22,61.5,50,66.5,2,0
76,2019-05-03 06:20:00,32,70.4,25,60.6,57,66.1,2,0
77,2019-05-03 06:25:00,27,70.6,21,61.8,48,66.7,2,0
78,2019-05-03 06:30:00,32,70.5,25,61.3,57,66.4,2,0
79,2019-05-03 06:35:00,36,70.6,27,62.1,63,67.0,2,0
80,2019-05-03 06:40:00,46,70.5,33,61.1,79,66.6,2,0
81,2019-05-03 06:45:00,57,70.6,40,62.1,97,67.1,2,0
82,2019-05-03 06:50:00,46,70.7,33,62.4,79,67.2,2,0
83,2019-05-03 06:55:00,49,70.4,35,60.6,84,66.3,2,0
84,2019-05-03 07:00:00,46,70.3,33,59.9,79,65.9,2,0
85,2019-05-03 07:05:00,58,70.3,41,60.1,99,66.1,2,0
